rowindex,Session,Subject,SubjectID,Timing,eventType,eventIndex,eventClicked,task,columnIndex,round,stateIndex,clueSeen,question,answer,error,tasktype,maxtask,mintask,tasktypeindex,taskchosen,cluesviewed,miliseconds,seconds,cluemath,cluews,clueboth,clueindex,maxtaskchosen,correct,wrong
126,2,6,135264567,900,task,1,Task 6,6,2,61,1,1 problem,,,,T,6,6,,0,1,5543,5.543000221,0,1,0,1,0,,
127,2,6,135264567,4643,trial,0,LEFI,,2,61,1,FILE,LEFI,FILE,,L,6,6,0,0,1,5543,5.543000221,0,0,0,,0,1,0
128,2,6,135264567,818,task,1,Task 4,4,1,62,1,Analytical skills,,,,T,4,4,,1,1,8240,8.239999771,1,0,0,22,1,,
129,2,6,135264567,7422,trial,0,76+76+76,,1,62,1,228,76+76+76,228,,7,4,4,1,1,1,8240,8.239999771,0,0,0,,1,1,0
130,2,6,135264567,534,task,1,Task 3,3,1,63,2,verbal,,,,T,3,3,,0,1,5898,5.897999763,0,1,0,4,0,,
131,2,6,135264567,5364,trial,0,GSFI,,1,63,2,FIGS,GSFI,FIGS,,G,3,3,0,0,1,5898,5.897999763,0,0,0,,0,1,0
132,2,6,135264567,626,task,1,Task 5,5,1,64,2,50 percent of previous players thought this task was harder than average,,,,T,5,5,,0,1,5086,5.085999966,0,0,0,12,0,,
133,2,6,135264567,4460,trial,0,RNFE,,1,64,2,FERN,RNFE,FERN,,R,5,5,0,0,1,5086,5.085999966,0,0,0,,0,1,0
134,2,6,135264567,692,task,1,Task 3,3,1,65,1,Analytical skills,,,,T,3,3,,1,1,8441,8.440999985,1,0,0,22,1,,
135,2,6,135264567,7749,trial,0,67+89+71,,1,65,1,227,67+89+71,227,,6,3,3,1,1,1,8441,8.440999985,0,0,0,,1,1,0
136,2,6,135264567,516,task,1,Task 3,3,1,66,1,Analytical skills,,,,T,3,3,,1,1,11122,11.12199974,1,0,0,22,1,,
137,2,6,135264567,10606,trial,0,94+53+79,,1,66,1,226,94+53+79,226,,9,3,3,1,1,1,11122,11.12199974,0,0,0,,1,1,0
138,2,6,135264567,1648,task,1,Task 2,2,1,67,1,1 problem to solve,,,,T,2,2,,1,1,8798,8.798000336,1,0,0,21,1,,
139,2,6,135264567,7150,trial,0,75+75+75,,1,67,1,225,75+75+75,225,,7,2,2,1,1,1,8798,8.798000336,0,0,0,,1,1,0
140,2,6,135264567,1216,task,1,Task 6,6,2,68,1,Numerical,,,,T,6,2,,1,2,13012,13.01200008,1,0,0,13,1,,
141,2,6,135264567,4526,task,1,Task 2,2,1,68,1,No words,,,,T,6,2,,1,2,13012,13.01200008,1,0,0,16,1,,
142,2,6,135264567,7270,trial,0,57+82+80,,1,68,1,219,57+82+80,219,,5,6,2,1,1,2,13012,13.01200008,0,0,0,,1,1,0
143,2,6,135264567,549,task,1,Task 4,4,1,69,2,50 percent of previous players chose this task,,,,T,4,4,,0,1,5898,5.897999763,0,0,1,11,0,,
144,2,6,135264567,5349,trial,0,LTFE,,1,69,2,LEFT,LTFE,LEFT,,L,4,4,0,0,1,5898,5.897999763,0,0,0,,0,0,1
145,2,6,135264567,1052,task,1,Task 3,3,1,70,2,San Diego has great weather,,,,T,3,3,,0,1,5715,5.715000153,0,1,0,9,0,,
146,2,6,135264567,4663,trial,0,LLFE,,1,70,2,FELL,LLFE,FELL,,L,3,3,0,0,1,5715,5.715000153,0,0,0,,0,1,0
147,2,6,135264567,1929,task,1,Task 2,2,1,71,2,vocabulary skills,,,,T,2,2,,0,1,7338,7.337999821,0,1,0,8,0,,
148,2,6,135264567,5409,trial,0,ETFE,,1,71,2,FEET,ETFE,FEET,,E,2,2,0,0,1,7338,7.337999821,0,0,0,,0,1,0
149,2,6,135264567,505,task,1,Task 3,3,1,72,1,Analytical skills,,,,T,5,3,,0,2,8181,8.180999756,1,0,0,22,0,,
150,2,6,135264567,1121,task,1,Task 5,5,2,72,1,50 percent of previous players chose this task,,,,T,5,3,,0,2,8181,8.180999756,0,0,1,11,0,,
151,2,6,135264567,4794,trial,0,ELFE,,2,72,1,EEFL,ELFE,EEFL,,E,5,3,0,0,2,8181,8.180999756,0,0,0,,0,0,1
152,2,6,135264567,1761,trial,0,ELFE,,2,72,1,FEEL,ELFE,FEEL,,E,5,3,0,0,2,8181,8.180999756,0,0,0,,0,1,0
153,2,6,135264567,542,task,1,Task 4,4,1,73,1,Not jumbled,,,,T,4,4,,1,1,9600,9.600000381,1,0,0,15,1,,
154,2,6,135264567,9058,trial,0,82+99+37,,1,73,1,218,82+99+37,218,,8,4,4,1,1,1,9600,9.600000381,0,0,0,,1,1,0
155,2,6,135264567,666,task,1,Task 4,4,1,74,2,multiple choice,,,,T,4,4,,0,1,5522,5.521999836,0,1,0,5,0,,
156,2,6,135264567,4856,trial,0,EDFE,,1,74,2,FEED,EDFE,FEED,,E,4,4,0,0,1,5522,5.521999836,0,0,0,,0,1,0
